driverId,Born,Partner,Relatives,Awards,Nationality,2025team(s),2026team,Car number,Entries,Championships,Wins,Podiums,Careerpoints,Pole positions,Fastest laps,First entry,First win,Last win,Last entry,2025position,20062004–200520032002–20032002,200620052003,Website,Spouse,Children,Active years,Teams,Racing licence,Years active,Starts,Poles,Best finish,Years,Class wins,2012–20162013201220121998–19991996–19971994–1995,19991997199719951994,Father,Partners,Team,First race,Last race,20001999,20191999,Medal recordMotor racingRepresentingSpainRace of ChampionsWinner2001 Gran CanariaTeam,Active years,Rallies,Rally wins,Stage wins,Total points,First rally,Last rally
1,"Lewis Carl Davidson Hamilton(1985-01-07)7 January 1985(age 40)Stevenage, Hertfordshire, England",Nicole Scherzinger(2007–2015),Nicolas Hamilton(half-brother),Full list,British,Ferrari[1],Ferrari[4],44[note 1],380 (380 starts),"7 (2008,2014,2015,2017,2018,2019,2020)",105,202,5018.5,104,68,2007 Australian Grand Prix,2007 Canadian Grand Prix,2024 Belgian Grand Prix,2025 Abu Dhabi Grand Prix,6th (156 pts),GP2 SeriesF3 Euro SeriesBritish F3British Formula RenaultFormula Renault Eurocup,GP2 SeriesF3 Euro SeriesBritish Formula Renault,lewishamilton.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Nick Lars Heidfeld(1977-05-10)10 May 1977(age 48)Mönchengladbach, North Rhine-Westphalia,West Germany",,Sven Heidfeld(brother),,German,,,23,186 (183 starts),0,0,8,259,1,1,2000 Australian Grand Prix,,,2011 Hungarian Grand Prix,,,,,Patricia Papen​(m.2011)​,3,2000–2011,"Mercedes,Rebellion",FIA Platinum,2014–2018,44,0,"4th(2012,2014)","1999,2012–2016",1(2014),FIA WECALMSV8 SupercarsPorsche SupercupInternational F3000German F3German FFord,International F3000German F3Monaco F3 Grand PrixGerman FFord 1800German FFord 1600,,,,,,,,,,,,,,,
3,"Nico Erik Rosberg(1985-06-27)27 June 1985(age 40)Wiesbaden,West Germany",,,,German,,,6,206 (206 starts),1 (2016),23,57,1594.5,30,20,2006 Bahrain Grand Prix,2012 Chinese Grand Prix,2016 Japanese Grand Prix,2016 Abu Dhabi Grand Prix,,,,nicorosberg.com,Vivian Sibold​(m.2014)​,2,2006–2016,"Williams,Mercedes",,,,,,,,,,Keke Rosberg,,,,,,,,,,,,,,
4,"Fernando Alonso Díaz(1981-07-29)29 July 1981(age 44)Oviedo, Asturias, Spain",,,Full list,Spanish,Aston MartinAramco–Mercedes[1],Aston Martin Aramco-Honda[2],14,428 (425 starts),1 (2018–19),WinsPodiumsPoles000,7,2393,22,2,2001 Australian Grand Prix,2003 Hungarian Grand Prix,2013 Spanish Grand Prix,2025 Abu Dhabi Grand Prix,10th (56 pts),,,,Raquel del Rosario​​(m.2006;div.2011)​,,,Toyota,FIA Platinum,2018–19,8,4,"1st(2018,2019)",2018–2019,"2(2018,2019)",,,,Lara Álvarez(2014–2016)Linda Morselli(2016–2021),Arrow McLaren,2017 Indianapolis 500(Indianapolis),2020 Indianapolis 500(Indianapolis),International F3000Euro Open by Nissan,24 Hours of DaytonaEuro Open by Nissan,,,,,,,,
5,"Heikki Johannes Kovalainen(1981-10-19)19 October 1981(age 44)Suomussalmi,Kainuu, Finland",,,,Finnish,,,,112 (111 starts),0,5,0,105,1,2,2007 Australian Grand Prix,2008 Hungarian Grand Prix,,2013 Brazilian Grand Prix,,,,,Catherine Hyde​(m.2014)​,1,2007–2013,SARD,FIA Platinum,2015–2021,54,2,1st in2016(GT500),,,,,,,,,,,,,2022–2023,4,0,0,1,2022 Rally Japan,2025 Rally Japan
